timestamp,smoke,methane,co,air,gpi,temperature,humidity
23:59:22,813,116,42,94,78,27.804710688903373,58.33088342763932
23:59:22,793,118,43,90,78,27.42681842422769,56.37726468956257
23:59:22,809,120,41,94,78,27.094729649903293,54.595834497634385
23:59:22,790,125,42,91,78,29.91068419089367,57.26907646613962
23:59:22,795,119,41,87,77,29.78007228882587,50.945158898611766
23:59:22,814,129,38,89,78,27.061498958700394,52.35853233691166
23:59:22,798,129,38,89,77,29.424509748770582,54.16586627527277
23:59:22,793,120,40,87,77,28.718666875887006,56.06427449422779
23:59:22,800,126,41,88,78,29.418164763382983,52.146844115489905
23:59:22,808,123,38,92,77,29.911102376015286,59.79066169099012
23:59:36,805,129,40,89,78,28.50954870778299,56.65532218204898
23:59:37,790,127,41,90,78,28.868374688272116,58.7519291026839
23:59:38,802,120,38,92,77,29.63764515922798,51.872553842146985
23:59:39,804,127,39,90,78,28.02048619630283,55.514095624217745
23:59:40,803,129,39,93,78,29.459498517153758,55.82133597044629
23:59:41,796,116,43,92,78,28.463177123435088,54.15045663115108
23:59:42,812,116,40,91,77,27.949980895400945,54.28282347966194
23:59:43,794,119,41,92,78,27.515201848413895,56.91095456999597
23:59:44,800,129,39,88,78,28.286647252154573,52.00993662009463
23:59:45,806,123,40,92,78,28.935252990277643,50.63566967636562
23:59:46,819,116,38,92,77,28.733537409333707,54.8366219246632
23:59:47,806,124,40,94,78,27.482968799734348,51.684645390014495
23:59:48,801,121,39,88,77,27.50963374931011,56.78045183688165
23:59:49,790,119,42,93,78,27.48945892627619,57.92495533625211
23:59:50,792,126,42,91,78,27.46104614072074,59.07344701542877
23:59:51,797,123,38,88,77,29.97783449464369,59.138482669830594
23:59:52,797,119,39,90,77,29.12428039289917,53.53031979505254
23:59:53,800,115,40,87,77,27.754576774027637,53.240632284354604
23:59:54,815,121,38,94,78,29.618030958730287,52.97621418249071
23:59:55,803,119,43,93,78,29.649791846589135,56.99894623599875
23:59:56,807,124,38,90,77,27.484119159180448,50.975915620440894
23:59:57,807,127,38,91,78,27.95977177589452,59.453151511910555
23:59:58,802,117,43,94,78,28.12070588199622,53.4199515499484
